                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71044,                 1.6177,                 1.3399,                0.31703,                0.65034,                0.45292,                0.35627,                0.89241,                  1.622,                 1.4974,               0.067179,             0.00033152,             0.00033152
                      2,                0.67924,                 1.3192,                 1.3039,                 0.5298,                0.49864,                0.40386,                0.28026,                 1.1869,                 1.7394,                 1.5804,               0.034146,             0.00063194,             0.00063194
                      3,                0.63463,                 1.2056,                 1.2939,                0.57848,                0.59685,                0.53127,                0.39574,                 1.0012,                 1.5654,                 1.3946,              0.0010805,             0.00089937,             0.00089937
                      4,                0.65815,                 1.1785,                 1.2904,                0.58271,                0.60458,                0.58657,                0.45912,                0.89433,                  1.076,                 1.2889,              0.0008515,              0.0008515,              0.0008515
                      5,                0.62514,                 1.1189,                 1.2806,                0.64244,                0.63101,                0.59695,                0.47804,                0.85749,                   1.05,                 1.2693,               0.000802,               0.000802,               0.000802
                      6,                0.59393,                 1.0673,                 1.2618,                0.54278,                0.64885,                0.58255,                0.46047,                0.89829,                 1.1292,                 1.2808,              0.0007525,              0.0007525,              0.0007525
                      7,                0.63079,                  1.033,                  1.277,                 0.6208,                0.68441,                0.59774,                0.46947,                0.85712,                 1.0471,                 1.2323,               0.000703,               0.000703,               0.000703
                      8,                0.61336,                 1.0041,                 1.2636,                0.64957,                0.68434,                0.64524,                0.51291,                0.84578,                 0.9066,                 1.2136,              0.0006535,              0.0006535,              0.0006535
                      9,                0.57126,                0.94632,                 1.2385,                0.66989,                0.63401,                0.62923,                0.49929,                 0.8517,                0.98204,                 1.2229,               0.000604,               0.000604,               0.000604
                     10,                0.56535,                0.92856,                 1.2357,                0.67402,                0.67334,                0.63894,                0.52335,                0.79195,                0.87332,                 1.1911,              0.0005545,              0.0005545,              0.0005545
                     11,                0.53461,                0.92888,                  1.304,                 0.5913,                0.74014,                0.69737,                0.55867,                0.86343,                0.93686,                 1.2278,               0.000505,               0.000505,               0.000505
                     12,                0.53071,                0.84783,                 1.3009,                 0.6742,                0.65765,                0.64485,                0.52487,                0.82476,                0.83993,                 1.1919,              0.0004555,              0.0004555,              0.0004555
                     13,                0.52258,                0.81761,                 1.2893,                0.62402,                 0.7165,                0.65985,                0.53746,                0.80388,                0.76605,                 1.1494,               0.000406,               0.000406,               0.000406
                     14,                0.51967,                 0.7842,                 1.2807,                0.70878,                0.70017,                0.69311,                0.56803,                0.80202,                0.76215,                 1.1581,              0.0003565,              0.0003565,              0.0003565
                     15,                0.51354,                0.77922,                 1.2967,                0.66279,                0.71143,                0.67526,                0.55126,                0.83259,                0.78122,                 1.1684,               0.000307,               0.000307,               0.000307
                     16,                0.50071,                0.73508,                 1.2862,                0.67425,                0.72654,                0.69757,                0.57274,                0.79824,                0.73033,                 1.1329,              0.0002575,              0.0002575,              0.0002575
                     17,                0.49534,                0.68981,                 1.2645,                 0.7016,                0.69577,                0.68621,                0.55688,                 0.8769,                0.76719,                 1.1949,               0.000208,               0.000208,               0.000208
                     18,                0.50003,                0.66979,                 1.2543,                0.73339,                0.70365,                0.69721,                0.57688,                0.80537,                0.70591,                 1.1364,              0.0001585,              0.0001585,              0.0001585
                     19,                0.48745,                0.63393,                 1.2492,                0.76181,                0.69012,                0.72416,                0.59469,                0.81859,                 0.6889,                  1.137,               0.000109,               0.000109,               0.000109
                     20,                0.49648,                0.61362,                 1.2697,                0.72501,                0.73124,                0.71615,                0.59387,                0.79765,                 0.6796,                 1.1368,               5.95e-05,               5.95e-05,               5.95e-05
